date,co2_ppm,ch4_ppb,n2o_ppb,anomaly,irradiance,co2,primary_energy_consumption,land_use_change_co2,time_since_baseline,co2_ppm_growth_rate,ch4_ppb_growth_rate,n2o_ppb_growth_rate,co2_ma_12,temp_ma_12
1959-01-01,315.58,,,8.0,,8855.112,,8692.767,0.0,,,,,
1960-01-01,316.43,,,0.0,,9386.951,,7610.568,0.999315537303217,,,,,
1961-01-01,316.89,,,7.0,,9414.99,,7630.158,2.001368925393566,,,,,
1962-01-01,317.94,,,5.0,,9747.241,,7138.4,3.0006844626967832,,,,,
1963-01-01,318.74,,,-3.0,,10266.777,,6953.332,4.0,,,,,
1964-01-01,319.57,,,-9.0,,10824.47,,6659.918,4.999315537303217,,,,,
1965-01-01,319.44,,,-8.0,,11310.603,43360.309,6385.424,6.0013689253935665,,,,,
1966-01-01,320.62,,,-19.0,,11862.625,45732.449,5917.141,7.000684462696783,,,,,
1967-01-01,322.33,,,-7.0,,12237.371,47410.555,6250.528,8.0,,,,,
1968-01-01,322.57,,,-26.0,,12905.273,50246.746,6327.129,8.999315537303216,,,,,
1969-01-01,324.0,,,-11.0,,13761.798,53700.402,6940.544,10.001368925393566,,,,,
1970-01-01,325.06,,,8.0,,14899.139,57177.613,6689.67,11.000684462696784,,,,319.93083333333334,-4.583333333333333
1971-01-01,326.17,,,-2.0,,15503.862,59438.562,6139.398,12.0,0.03355725964890044,,,320.81333333333333,-5.416666666666667
1972-01-01,326.77,,,-23.0,,16224.579,62703.992,6438.088,12.999315537303216,0.03267705337673421,,,321.675,-7.333333333333333
1973-01-01,328.55,,,29.0,,17077.285,66337.648,6254.265,14.001368925393566,0.03679510240146433,,,322.64666666666665,-5.5
1974-01-01,329.36,,,-10.0,,16997.912,66696.508,6312.999,15.000684462696784,0.03591872680379948,,,323.5983333333333,-6.75
1975-01-01,330.73,,,10.0,,16988.477,67157.297,6123.497,16.0,0.03761686641149531,,,324.5975,-5.666666666666667
1976-01-01,331.56,,,-3.0,,17862.492,70744.766,6060.281,16.999315537303218,0.03751916637982289,,,325.59666666666664,-5.166666666666667
1977-01-01,332.68,,,18.0,,18358.039,73306.172,6620.091,18.001368925393567,0.04144753318307037,,,326.7,-3.0
1978-01-01,334.94,,,6.0,,19024.742,76179.039,6563.897,19.000684462696782,0.04466346453745862,,,327.8933333333333,-0.9166666666666666
1979-01-01,336.14,,,9.0,,19508.59,78698.641,5855.829,20.0,0.042844290013340336,,,329.0441666666667,0.4166666666666667
1980-01-01,337.9,,,29.0,,19409.793,78010.562,6001.314,20.999315537303218,0.047524568310754134,,,330.32166666666666,5.0
1981-01-01,339.29,,,53.0,,18879.756,77654.789,5836.581,22.001368925393567,0.04719135802469143,,,331.5958333333333,10.333333333333334
1982-01-01,340.93,,,5.0,,18729.742,77277.594,5531.553,23.000684462696782,0.048821755983510684,,,332.91833333333335,10.083333333333334
1983-01-01,341.57,,,53.0,,18901.775,78599.125,5839.854,24.0,0.04721464267099962,,,334.20166666666665,14.666666666666666
1984-01-01,344.21,1638.74,,31.0,,19457.25,82129.477,6424.799,24.999315537303218,0.05337087247911376,,,335.655,19.166666666666668
1985-01-01,345.48,1655.6,,22.0,,20144.863,84332.883,6787.743,26.001368925393567,0.05152944757266775,,,337.06583333333333,18.583333333333332
1986-01-01,346.78,1666.29,,26.0,,20438.045,86200.781,6943.316,27.000684462696782,0.05289045421423344,,,338.5175,21.583333333333332
1987-01-01,348.73,1679.42,,32.0,,21106.189,89321.43,6497.945,28.0,0.054425059716384894,,,340.0175,23.416666666666668
1988-01-01,350.51,1691.98,,56.0,,21918.756,92666.555,6156.68,28.999315537303218,0.05715405959705633,,,341.59666666666664,28.333333333333332
1989-01-01,353.07,1700.55,,12.0,,22200.213,94454.031,5980.82,30.001368925393567,0.061290128652158105,,,343.2958333333333,27.833333333333332
1990-01-01,353.86,1712.14,,41.0,,22732.145,95856.289,5829.07,31.000684462696782,0.056487729145518584,,,344.8725,30.75
